id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
3572139,224,23,4,4.85,4.88,4.74,4.94,4.93,4.85,4.85,2.07
3623844,107,30,4,4.88,4.93,4.92,4.93,4.94,4.72,4.89,0.95
3657357,50,0,0,4.8,4.86,4.72,4.82,4.82,4.86,4.78,0.42
3689244,41,14,0,4.71,4.78,4.59,4.9,4.88,4.73,4.59,0.35
3744742,233,13,1,4.33,4.48,4.33,4.72,4.72,4.46,4.41,1.97
3775528,94,8,0,4.98,4.96,5,4.96,4.98,4.84,4.98,0.79
3793206,238,12,1,4.89,4.92,4.84,4.97,4.98,4.88,4.85,1.99
3793412,72,1,0,4.83,4.85,4.77,4.89,4.94,4.87,4.81,0.6
3814258,218,27,2,4.72,4.81,4.7,4.96,4.93,4.87,4.71,1.84
3838856,230,25,2,4.89,4.92,4.91,4.88,4.95,4.84,4.82,1.93
3845889,91,0,0,4.86,4.97,4.87,4.97,4.96,4.9,4.87,0.91
3846001,145,23,2,4.92,4.95,4.96,4.97,4.95,4.88,4.85,1.22
3871442,36,0,0,4.86,4.86,4.83,4.89,4.89,4.71,4.63,0.31
3886601,151,13,3,4.66,4.55,4.75,4.76,4.89,4.91,4.59,1.27
3920124,133,0,0,4.9,4.86,4.87,4.89,4.84,4.74,4.85,1.19
3956263,163,51,4,4.82,4.8,4.73,4.92,4.91,4.87,4.8,1.38
4026948,142,15,0,4.42,4.7,4.06,4.71,4.71,4.46,4.47,1.2
4047596,244,29,0,4.86,4.93,4.89,4.93,4.95,4.92,4.8,2.05
4050925,603,75,7,4.95,4.95,4.93,4.95,4.94,4.93,4.9,5.08
4141228,87,4,0,4.72,4.83,4.82,4.86,4.91,4.59,4.63,0.78
4360718,222,15,2,4.48,4.65,4.48,4.79,4.76,4.49,4.58,1.9
4388283,67,1,0,4.88,4.83,4.7,4.91,4.89,4.45,4.82,0.58
4396219,55,11,1,4.82,4.89,4.87,4.91,4.84,4.95,4.67,0.47
4396221,37,14,0,4.73,4.78,4.7,4.92,4.78,4.83,4.61,0.33
4495014,224,18,0,4.51,4.65,4.46,4.75,4.7,4.49,4.56,1.94
4540924,45,6,0,4.58,4.78,4.56,4.76,4.78,4.53,4.78,0.39
4606903,40,14,1,5,4.98,4.9,4.98,5,4.5,4.8,0.41
4616579,88,9,1,4.83,4.86,4.85,4.94,4.92,4.77,4.81,0.77
4673248,58,20,6,4.91,4.95,4.95,5,4.98,4.49,4.75,0.52
4690684,5,2,0,5,5,5,5,5,4.8,5,0.04
4691157,25,6,1,4.96,4.96,4.96,5,4.96,4.52,4.92,0.35
4750169,44,0,0,4.45,4.52,4.34,4.84,4.8,4.42,4.53,0.39
4813245,149,4,0,4.62,4.78,4.64,4.73,4.8,4.59,4.54,1.31
4817291,330,51,3,4.96,4.93,4.93,4.99,4.99,4.9,4.93,2.9
4825779,314,38,2,4.61,4.76,4.85,4.77,4.86,4.46,4.49,2.72
4842239,194,13,3,4.58,4.7,4.72,4.81,4.9,4.84,4.68,1.68
4849854,184,17,1,4.84,4.86,4.81,4.92,4.89,4.54,4.59,1.59
4888140,225,15,0,4.41,4.6,4.26,4.71,4.6,4.39,4.52,1.98
4925503,217,30,3,4.65,4.76,4.8,4.92,4.91,4.66,4.69,2.17
4925745,378,62,4,4.94,4.94,4.88,4.95,4.96,4.88,4.88,3.45
4926317,298,25,2,4.54,4.62,4.75,4.78,4.81,4.67,4.57,2.59
4926426,257,27,1,4.61,4.7,4.79,4.81,4.84,4.62,4.65,2.3
5070495,88,7,0,4.78,4.89,4.82,4.95,4.94,4.78,4.76,0.77
5080877,251,17,4,4.88,4.92,4.88,4.95,4.96,4.56,4.9,2.2
5128293,179,23,2,4.87,4.87,4.84,4.96,4.98,4.88,4.84,1.56
5198467,61,13,1,4.82,4.88,4.92,4.98,4.95,4.78,4.68,0.54
5217466,110,10,0,4.85,4.9,4.86,4.91,4.96,4.73,4.81,0.97
5262640,65,5,0,4.82,4.91,4.86,4.94,4.88,4.63,4.75,0.58
5262658,140,13,0,4.85,4.86,4.9,4.95,4.92,4.59,4.74,1.23
5410242,63,4,0,4.87,4.95,4.94,5,4.92,4.92,4.92,0.61
5464293,161,14,0,4.43,4.56,4.42,4.77,4.84,4.59,4.43,1.43
5564391,207,0,0,4.85,4.89,4.91,4.93,4.89,4.71,4.86,2.18
5633430,54,11,0,4.81,4.89,4.93,4.93,4.93,4.65,4.7,0.48
5641920,35,8,0,4.83,4.91,4.77,4.91,4.94,4.6,4.66,0.31
5673677,72,8,0,4.99,5,5,5,5,4.97,4.96,0.67
5738050,174,10,2,4.86,4.92,4.83,4.97,4.97,4.73,4.89,1.54
5815506,65,23,3,4.91,4.94,4.92,4.94,4.92,4.92,4.91,1.05
5876019,80,7,0,4.95,4.93,4.88,4.87,4.89,4.81,4.94,0.72
5932309,270,37,5,4.7,4.75,4.6,4.88,4.91,4.68,4.7,2.42
5936568,70,6,0,4.53,4.64,4.2,4.81,4.81,4.59,4.41,0.63
5947917,6,6,1,4.83,4.83,4.5,4.83,4.67,4.17,4.67,0.63
5963368,44,5,0,4.75,4.77,4.8,4.91,4.93,4.67,4.64,0.4
5979941,42,9,0,4.81,4.83,4.76,4.83,4.88,4.45,4.76,0.38
6050643,70,8,0,4.97,4.9,4.89,4.91,4.96,4.77,4.87,0.63
6214018,87,8,1,4.49,4.76,4.38,4.77,4.67,4.72,4.56,0.79
6308465,185,0,0,4.77,4.86,4.68,4.87,4.74,4.94,4.68,1.79
6365363,67,23,1,4.76,4.85,4.79,4.91,4.84,4.76,4.79,0.61
6374299,121,26,2,4.58,4.64,4.32,4.69,4.72,4.9,4.56,1.1
6380625,167,12,1,4.87,4.92,4.95,4.94,4.89,4.54,4.83,1.52
6439108,260,31,1,4.96,4.94,4.83,4.99,4.98,4.98,4.85,2.36
6505073,245,17,1,4.52,4.68,4.59,4.77,4.71,4.41,4.61,2.24
6562355,46,7,0,4.87,4.87,4.91,4.87,4.89,4.65,4.89,0.45
6592213,174,26,5,4.98,4.93,4.87,4.98,4.99,4.65,4.95,1.59
6613961,53,9,0,4.45,4.66,4.15,4.66,4.57,4.64,4.6,0.48
6627048,15,15,2,4.67,4.71,4.79,4.79,4.93,4.57,4.57,1.65
6636522,255,36,2,4.67,4.85,4.65,4.81,4.84,4.53,4.82,2.42
6646878,101,7,0,4.94,4.97,4.94,4.94,4.94,4.8,4.91,0.92
6648293,334,37,1,4.73,4.75,4.62,4.89,4.93,4.71,4.76,3.04
6719865,150,3,0,4.73,4.87,4.54,4.89,4.84,4.9,4.72,1.38
6749824,154,28,5,4.88,4.9,4.98,4.99,4.92,4.85,4.88,1.55
6750472,230,34,0,4.85,4.9,4.87,4.95,4.96,4.84,4.84,2.12
6768640,53,11,0,4.72,4.85,4.75,4.83,4.77,4.7,4.64,0.49
6785470,59,0,0,4.9,4.92,4.93,4.93,4.92,4.75,4.76,0.55
6800607,47,5,0,4.77,4.91,4.79,4.85,4.91,4.72,4.85,0.43
6803014,187,26,1,4.95,4.9,4.85,4.93,4.95,4.84,4.81,1.72
6812578,260,32,2,4.93,4.95,4.95,4.96,4.94,4.84,4.9,2.41
6837981,100,29,0,4.67,4.73,4.62,4.88,4.8,4.52,4.75,0.91
6838363,92,16,1,4.71,4.81,4.78,4.86,4.87,4.48,4.67,0.85
6838964,88,21,2,4.77,4.78,4.75,4.89,4.73,4.52,4.68,0.81
6854721,187,41,5,4.92,4.96,4.9,4.96,4.97,4.57,4.9,1.71
6856801,67,12,0,4.76,4.84,4.82,4.91,4.91,4.88,4.64,0.64
6859825,53,7,0,4.3,4.66,4.17,4.72,4.64,4.58,4.42,0.48
6874108,177,17,0,4.63,4.73,4.67,4.75,4.87,4.68,4.6,1.63
6875368,167,23,2,4.89,4.92,4.93,4.96,4.92,4.87,4.88,1.54
6914633,267,15,0,4.74,4.8,4.85,4.88,4.85,4.87,4.7,2.45
6939875,176,23,0,4.85,4.9,4.75,4.93,4.92,4.73,4.76,1.62
6975801,215,30,1,4.41,4.6,4.7,4.73,4.8,4.41,4.38,1.97
7038511,59,2,0,4.83,4.81,4.83,4.93,4.97,4.7,4.77,0.54
7038653,17,2,0,4.94,4.94,4.94,4.94,4.94,4.76,4.94,0.16
7038739,39,9,0,5,4.95,5,4.95,4.97,4.87,4.92,0.36
7043818,170,12,1,4.88,4.9,4.88,4.96,4.95,4.92,4.82,1.56
7057399,63,7,2,4.67,4.79,4.56,4.83,4.92,4.68,4.78,0.63
7123125,74,6,0,4.91,4.86,4.95,4.97,4.97,4.91,4.8,0.68
7136098,124,22,0,4.63,4.71,4.69,4.9,4.86,4.83,4.67,1.14
7149882,206,34,3,4.66,4.72,4.54,4.8,4.78,4.75,4.61,1.9
7170836,177,42,3,4.86,4.83,4.85,4.88,4.92,4.63,4.75,2.19
7217107,328,21,1,4.5,4.66,4.71,4.75,4.72,4.44,4.59,3.02
7227038,285,47,4,4.84,4.82,4.82,4.85,4.84,4.96,4.71,2.61
7281726,43,4,2,5,5,4.98,5,4.93,4.74,4.9,0.47
7310511,293,14,2,4.44,4.62,4.67,4.63,4.64,4.42,4.61,2.7
7322455,33,9,0,4.3,4.55,4.39,4.7,4.7,4.45,4.48,0.31
7349832,90,17,0,4.7,4.9,4.6,4.86,4.83,4.79,4.78,0.83
7353004,40,5,0,4.45,4.5,4.38,4.6,4.68,4.08,4.53,0.5
7358397,210,27,3,4.97,4.99,4.98,4.99,5,4.87,4.88,1.97
7370013,398,40,0,4.6,4.71,4.62,4.68,4.73,4.46,4.7,3.66
7389965,289,16,0,4.69,4.79,4.76,4.83,4.76,4.58,4.8,2.67
7393044,275,25,0,4.57,4.75,4.73,4.82,4.73,4.53,4.82,2.53
7406024,81,7,0,4.86,4.85,4.95,4.89,4.94,4.74,4.78,0.76
7450080,191,0,0,4.66,4.82,4.52,4.84,4.9,4.7,4.71,1.76
7484849,69,2,0,4.91,4.91,4.68,4.9,4.9,4.72,4.8,0.64
7620544,26,2,0,4.85,4.88,4.92,4.81,4.85,4.38,4.77,0.33
7625528,137,17,0,4.81,4.82,4.85,4.83,4.92,4.72,4.71,1.27
7718263,21,12,1,4.71,4.86,4.52,4.86,4.86,4.95,4.81,1.03
7876373,147,8,0,4.59,4.83,4.76,4.86,4.89,4.65,4.62,1.49
7876385,209,22,1,4.63,4.64,4.75,4.84,4.88,4.76,4.67,2.11
7876639,154,14,0,4.67,4.74,4.69,4.84,4.82,4.67,4.74,1.55
7899504,36,6,1,4.22,4.61,4.03,4.72,4.53,4.44,4.36,0.34
7901470,458,76,8,4.86,4.9,4.74,4.87,4.84,4.64,4.92,4.24
7901621,317,51,6,4.87,4.9,4.73,4.89,4.85,4.64,4.94,2.98
7903097,101,16,0,4.81,4.8,4.83,4.84,4.82,4.62,4.77,0.96
7911710,89,11,1,4.82,4.94,4.92,4.9,4.98,4.61,4.78,0.83
7938869,202,23,2,4.96,4.98,4.93,5,4.99,4.97,4.87,1.89
7940139,33,2,0,4.85,4.88,4.7,4.97,5,4.78,4.78,0.33
7940713,143,9,0,4.87,4.91,4.9,4.94,4.89,4.66,4.83,1.35
7954446,44,3,0,4.32,4.59,4.14,4.57,4.48,4.61,4.59,0.42
7956999,203,15,0,4.53,4.71,4.52,4.83,4.86,4.79,4.56,1.9
7965448,45,6,0,4.82,4.73,4.76,4.87,4.98,4.64,4.77,0.54
8105976,298,38,2,4.96,4.95,4.96,4.97,4.98,4.75,4.93,2.79
8108276,117,16,2,4.68,4.81,4.82,4.84,4.86,4.8,4.7,1.1
8173177,243,31,3,4.57,4.7,4.64,4.67,4.81,4.51,4.46,2.26
8246244,213,43,5,4.69,4.74,4.59,4.81,4.76,4.8,4.62,1.99
8264671,64,35,1,4.78,4.75,4.8,4.86,4.78,4.86,4.78,0.6
8274487,318,38,3,4.84,4.86,4.74,4.93,4.91,4.72,4.85,2.98
8297870,82,7,1,4.94,4.99,4.95,4.98,5,4.83,4.95,0.82
8332946,141,1,1,4.66,4.74,4.61,4.85,4.87,4.81,4.6,1.32
8341784,181,29,4,4.85,4.83,4.82,4.89,4.91,4.76,4.82,1.69
8372308,261,22,0,4.64,4.7,4.6,4.85,4.84,4.8,4.63,2.52
8416408,81,16,2,4.93,4.99,4.99,4.89,4.89,4.74,4.9,0.76
8447162,185,24,0,4.96,4.97,4.93,4.95,4.99,4.86,4.89,1.75
8450948,175,17,2,4.79,4.82,4.53,4.89,4.92,4.47,4.79,1.75
8488964,141,36,2,4.6,4.59,4.5,4.84,4.78,4.68,4.55,1.33
8583857,297,15,0,4.83,4.92,4.81,4.96,4.94,4.91,4.83,2.95
8618595,432,47,3,4.84,4.89,4.86,4.93,4.93,4.63,4.74,4.09
8619851,94,18,2,4.96,4.94,4.93,4.99,5,4.73,4.9,0.97
8731635,143,15,0,4.61,4.65,4.36,4.66,4.78,4.73,4.73,1.45
8783754,263,39,3,4.96,4.97,4.98,4.94,4.97,4.82,4.93,2.62
8784897,276,31,2,4.58,4.73,4.72,4.68,4.86,4.41,4.55,2.62
8815730,231,42,3,4.63,4.76,4.77,4.75,4.88,4.56,4.53,2.18
8947448,102,19,3,4.81,4.78,4.76,4.88,4.85,4.86,4.8,0.98
8995057,237,20,2,4.74,4.83,4.77,4.86,4.9,4.84,4.73,2.49
8995712,374,63,5,4.95,4.96,4.97,4.97,4.97,4.85,4.92,3.55
9006622,149,15,2,4.91,4.95,4.9,4.95,4.97,4.88,4.88,1.41
9036683,175,37,2,4.95,4.99,4.98,4.98,5,4.92,4.97,1.75
9081390,190,11,1,4.77,4.86,4.92,4.93,4.91,4.87,4.74,1.81
9096540,169,17,2,4.82,4.92,4.86,4.84,4.87,4.67,4.78,1.61
9158327,155,20,4,4.76,4.72,4.7,4.91,4.84,4.83,4.66,1.48
9163537,121,8,1,4.96,4.97,4.97,4.93,4.96,4.85,4.93,1.16
9176301,98,6,0,4.52,4.5,4.35,4.83,4.86,4.49,4.52,0.98
9206226,151,33,5,4.88,4.93,4.91,4.95,4.89,4.83,4.85,1.48
9220482,237,32,5,4.68,4.81,4.74,4.83,4.89,4.58,4.58,2.26
9239019,103,11,0,4.72,4.72,4.79,4.73,4.83,4.65,4.7,0.99
9280298,117,42,3,4.74,4.78,4.53,4.88,4.86,4.93,4.64,1.12
9437825,19,3,0,4.63,4.84,4.79,4.89,4.74,4.89,4.47,0.19
9442462,28,7,0,4.86,4.93,4.93,4.96,4.93,4.82,4.86,0.31
9454348,162,3,0,4.48,4.75,4.56,4.88,4.82,4.78,4.61,1.56
9481712,185,16,1,4.77,4.87,4.71,4.75,4.86,4.82,4.79,1.84
9518927,67,7,0,4.58,4.61,4.51,4.93,4.93,4.77,4.39,0.65
9519391,196,31,3,4.91,4.91,4.94,4.96,4.95,4.56,4.77,2.05
9532214,125,31,1,4.64,4.71,4.64,4.77,4.77,4.62,4.59,1.25
9540169,5,0,0,3.8,4.2,3.2,4.2,4.8,3,4.4,0.06
9554622,88,14,0,4.85,4.85,4.74,4.89,4.94,4.88,4.76,1.26
9575725,35,0,0,4.26,4.23,3.8,4.44,4.23,3.82,4.44,0.34
9578555,14,3,0,4.21,4.43,3.64,4.43,4.5,4.29,4.36,0.14
9601749,74,13,0,4.84,4.81,4.82,4.92,4.93,4.77,4.66,1.13
9639867,217,32,1,4.62,4.69,4.6,4.51,4.82,4.76,4.64,2.1
9640624,152,14,0,4.71,4.76,4.75,4.88,4.86,4.84,4.59,1.47
9676049,351,40,3,4.83,4.87,4.9,4.94,4.96,4.71,4.8,3.37
9676636,109,17,2,4.94,4.94,4.92,4.95,4.96,4.83,4.9,1.05
9684860,364,47,4,4.8,4.88,4.69,4.86,4.82,4.67,4.88,3.5
9704555,164,20,3,4.98,4.95,4.98,4.98,4.96,4.81,4.95,2.12
9738767,119,30,3,4.76,4.82,4.81,4.73,4.81,4.62,4.74,1.18
9738892,130,25,1,4.63,4.69,4.68,4.83,4.83,4.74,4.6,1.28
9739115,76,23,3,4.76,4.78,4.86,4.8,4.8,4.68,4.72,0.76
9739745,134,37,2,4.9,4.9,4.89,4.97,4.86,4.82,4.83,1.3
9761564,253,6,0,4.6,4.73,4.35,4.82,4.86,4.65,4.62,2.43
9825656,123,29,3,4.56,4.65,4.63,4.79,4.85,4.65,4.54,1.19
9829226,93,13,0,4.76,4.81,4.81,4.87,4.87,4.61,4.61,0.9
9834733,193,24,1,4.8,4.83,4.68,4.81,4.92,4.61,4.74,1.89
9844959,162,17,2,4.67,4.72,4.77,4.84,4.88,4.83,4.57,1.56
9868151,228,14,0,4.73,4.81,4.73,4.86,4.75,4.83,4.69,2.2
9894328,156,10,0,4.79,4.84,4.81,4.85,4.93,4.73,4.7,1.51
9913066,11,9,0,4.73,5,4.91,5,4.82,4.73,4.73,0.83
9916890,28,1,0,4.18,4.32,3.46,4.64,4.61,4.32,4.46,0.31
9946339,5,1,0,5,4.8,4.2,4.8,4.8,5,4.6,0.05
9984949,13,0,0,4.77,4.62,4.31,4.69,4.85,5,4.92,0.13
10001115,8,2,0,4.5,4.63,4,5,5,5,4.88,0.08
10002680,119,9,1,4.75,4.85,4.58,4.94,4.86,4.76,4.81,1.18
10061035,212,27,2,4.95,4.94,4.88,4.97,4.97,4.67,4.95,2.11
10061086,13,4,0,4.85,4.85,4.92,5,5,4.69,4.77,0.17
10063063,67,28,0,4.88,4.85,4.96,4.93,4.9,4.82,4.78,0.67
10086317,31,16,2,4.9,4.97,4.81,4.97,5,4.77,4.84,0.3
10091405,263,29,3,4.97,4.98,4.97,4.95,4.98,4.94,4.98,2.55
10094822,239,20,3,4.85,4.85,4.74,4.9,4.94,4.54,4.78,2.57
10110295,146,1,0,4.53,4.66,4.45,4.8,4.84,4.85,4.58,1.41
10124923,168,20,0,4.76,4.85,4.76,4.75,4.83,4.7,4.69,1.66
10130437,72,13,0,4.85,4.82,4.82,4.88,4.83,4.54,4.78,0.72
10147648,153,14,3,4.84,4.88,4.85,4.95,4.95,4.75,4.87,1.5
10158167,149,23,0,4.46,4.55,4.36,4.8,4.78,4.76,4.5,1.47
10210751,205,26,0,4.78,4.82,4.83,4.89,4.93,4.89,4.67,1.98
10221883,30,3,0,4.63,4.63,4.4,4.77,4.8,4.83,4.8,0.3
10271073,39,9,0,4.69,4.67,4.64,4.9,4.74,4.69,4.56,0.39
10274874,37,10,0,4.78,4.81,4.73,4.86,4.89,4.86,4.76,0.96
10317823,128,21,1,4.62,4.59,4.56,4.76,4.84,4.78,4.61,1.28
10322230,343,62,2,4.89,4.91,4.85,4.96,4.94,4.9,4.86,3.37
10366183,211,33,4,4.85,4.91,4.92,4.9,4.9,4.82,4.85,2.08
10416869,168,14,0,4.62,4.62,4.73,4.86,4.89,4.75,4.51,1.64
10459659,354,79,7,4.88,4.95,4.85,4.94,4.93,4.92,4.86,3.49
10505175,76,14,0,4.92,4.93,4.89,4.97,4.95,4.68,4.8,0.74
10506217,103,50,3,4.89,4.91,4.81,5,4.99,4.91,4.86,1.07
10534006,148,14,0,4.66,4.76,4.6,4.89,4.92,4.88,4.55,1.45
10536367,173,13,0,4.92,4.86,4.96,4.97,4.96,4.64,4.83,1.7
10552058,62,1,0,4.4,4.63,4.13,4.69,4.61,4.47,4.42,0.61
10553744,382,19,0,4.83,4.86,4.81,4.92,4.85,4.58,4.81,3.72
10582789,307,62,8,4.99,5,4.99,5,5,4.92,4.97,3.09
10583516,280,32,3,4.89,4.89,4.95,4.97,4.98,4.68,4.86,2.75
10596923,84,1,0,4.81,4.86,4.67,4.9,4.9,4.87,4.78,0.82
10598625,390,80,4,4.88,4.82,4.85,4.9,4.8,4.76,4.68,5.7
10600978,207,30,2,4.84,4.88,4.76,4.93,4.77,4.84,4.87,2.06
10605063,265,51,3,4.86,4.86,4.86,4.95,4.94,4.88,4.83,2.93
10636671,145,19,1,4.92,4.93,4.88,4.95,4.92,4.86,4.9,1.44
10733833,156,2,0,4.52,4.7,4.4,4.85,4.89,4.86,4.53,1.53
10761071,138,19,0,4.83,4.85,4.8,4.93,4.93,4.67,4.72,1.4
10795042,218,16,1,4.9,4.95,4.95,4.94,4.9,4.94,4.7,2.13
10913195,137,19,2,4.55,4.72,4.5,4.84,4.96,4.89,4.57,1.44
10933646,164,10,1,4.77,4.83,4.9,4.88,4.86,4.58,4.73,1.64
10938090,226,16,0,4.73,4.85,4.89,4.9,4.83,4.6,4.68,2.28
10948144,18,3,0,4.72,4.61,4.72,4.82,5,4.65,4.71,0.18
10951922,210,13,0,4.63,4.74,4.56,4.83,4.85,4.83,4.68,2.07
10996932,211,23,3,4.61,4.65,4.48,4.83,4.68,4.4,4.53,2.11
10999290,240,51,1,4.72,4.82,4.69,4.83,4.88,4.87,4.68,2.39
11049003,197,25,1,4.9,4.95,4.83,4.93,4.93,4.89,4.84,1.93
11167120,269,20,2,4.91,4.94,4.93,4.93,4.98,4.73,4.9,2.68
11212330,125,25,3,4.47,4.65,4.29,4.71,4.73,4.37,4.52,1.24
11219498,219,37,3,4.74,4.86,4.69,4.63,4.82,4.75,4.68,2.17
11259582,193,11,0,4.79,4.85,4.62,4.79,4.86,4.81,4.76,1.92
11284667,352,67,5,4.98,4.95,4.92,4.97,4.99,4.88,4.94,3.66
11328437,221,27,2,4.67,4.81,4.75,4.88,4.87,4.28,4.72,2.19
11367281,26,26,2,4.88,4.96,4.77,4.92,5,4.92,4.96,2.23
11480601,118,14,1,4.73,4.77,4.68,4.76,4.81,4.57,4.68,1.18
11574788,90,11,0,4.9,4.89,4.87,4.91,4.9,4.72,4.84,0.9
11575556,200,30,1,4.75,4.85,4.85,4.81,4.94,4.5,4.74,1.99
11589890,256,21,0,4.97,4.96,4.96,4.96,4.95,4.72,4.91,2.53
11627233,135,6,0,4.53,4.6,4.46,4.86,4.8,4.75,4.55,1.6
11629510,96,8,1,4.39,4.6,4.3,4.65,4.75,4.38,4.37,0.95
11640593,37,7,0,4.68,4.73,4.57,4.73,4.84,4.78,4.57,0.37
11665579,127,17,2,4.75,4.83,4.73,4.91,4.96,4.75,4.67,1.26
11675888,398,25,1,4.89,4.93,4.85,4.92,4.94,4.66,4.86,3.95
11679419,298,9,0,4.86,4.9,4.86,4.89,4.92,4.92,4.87,2.98
11707373,194,34,1,4.69,4.76,4.54,4.92,4.87,4.88,4.65,1.93
11711938,317,44,0,4.72,4.73,4.56,4.82,4.87,4.75,4.68,3.16
11719571,167,26,2,4.89,4.93,4.91,4.93,4.93,4.53,4.83,1.82
11720169,197,15,2,4.76,4.81,4.74,4.83,4.88,4.69,4.76,1.96
11725564,121,4,1,4.55,4.66,4.26,4.85,4.83,4.4,4.63,1.2
11761568,3,1,0,5,5,4.67,5,4.67,5,5,0.14
11827731,81,3,0,4.68,4.83,4.65,4.91,4.91,4.74,4.7,0.81
11849761,61,11,0,4.8,4.87,4.56,4.8,4.89,4.73,4.77,0.62
11851041,70,12,1,4.86,4.9,4.94,4.93,4.9,4.81,4.8,0.71
11976628,334,37,3,4.88,4.9,4.93,4.95,4.95,4.67,4.78,3.33
11978095,233,24,1,4.67,4.78,4.57,4.87,4.85,4.57,4.71,2.36
11981272,156,31,2,4.86,4.88,4.9,4.89,4.93,4.72,4.84,1.58
11997228,179,40,4,4.87,4.91,4.83,4.93,4.91,4.89,4.84,1.8
12009565,254,14,3,4.96,4.96,4.96,4.97,4.98,4.72,4.87,2.53
12028773,477,69,4,4.47,4.47,4.36,4.75,4.75,4.8,4.5,4.77
12071858,244,21,0,4.76,4.81,4.82,4.86,4.93,4.52,4.69,2.44
12073235,21,4,1,4.67,4.62,4.76,4.62,4.76,4.76,4.81,0.24
12078617,46,6,0,5,5,4.98,5,5,4.89,4.98,0.46
12103556,44,3,0,4.86,4.86,4.77,4.91,4.82,4.66,4.68,0.44
12114845,400,61,5,4.74,4.78,4.86,4.55,4.79,4.8,4.61,4
