id,name,host_id,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,instant_bookable
2602722,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No2 ドミトリールーム,8142772,Shinjuku Ku,Shared room in rental unit,Shared room,8,1,1,8,7760,2,1125,2,1125,t,f
2602791,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No6 ドミトリールーム,8142772,Shinjuku Ku,Shared room in rental unit,Shared room,8,1,1,8,7760,2,1125,2,1125,t,f
2645379,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No7 シェアルーム,8142772,Shinjuku Ku,Shared room in rental unit,Shared room,8,1,1,8,7760,2,1125,2,1125,t,f
2803972,11mins to Fussa station by train and 6mins walk!,13465066,Akishima Shi,Entire guest suite,Entire home/apt,2,1,1,1,4600,3,180,3,180,t,f
2839061,"#1 Discover local life, culture & People/Work desk",4839990,Bunkyo Ku,Private room in home,Private room,2,2,1,1,11169,5,45,5.2,45,t,f
2867835,Lively town flat for family stay,9360394,Adachi Ku,Entire rental unit,Entire home/apt,4,1,1,3,12200,7,1125,7,1125,t,f
2883497,東京下町生活,6969809,Taito Ku,Hut,Entire home/apt,6,1,2,6,23371,1,90,1,90,t,f
2883753,Modern Tatami dining with comfy bed,9360394,Adachi Ku,Entire rental unit,Entire home/apt,4,1,1,3,12200,7,1125,7,1125,t,f
2883869,Comfy Studio with Lovely balcony,9360394,Adachi Ku,Entire rental unit,Entire home/apt,1,1,1,1,6329,7,1125,7,1125,t,f
3085134,"""HirooHouse""3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Shibuya Ku,Entire home,Entire home/apt,6,1.5,2,4,44429,5,270,4.9,270,t,f
3235958,Enjoy Simple Life in Tokyo (1),16241464,Itabashi Ku,Entire rental unit,Entire home/apt,2,1,1,1,6571,1,90,1,1125,t,f
3339222,Enjoy Simple Life in Tokyo (2),16241464,Itabashi Ku,Entire rental unit,Entire home/apt,2,1,1,2,7200,1,90,1,1125,t,f
3364169,Asakusa friendly family type apt,16973429,Taito Ku,Entire rental unit,Entire home/apt,4,1,1,4,13000,5,1125,5,1125,t,t
3372902,アジアンミックステイストの癒される空間,17018818,Meguro Ku,Entire rental unit,Entire home/apt,2,1,2,2,6800,2,1125,2,1125,t,f
3389878,*Cozy Petit Single Rm w Balcony in Shared Mansion,9203725,Shinagawa Ku,Private room in home,Private room,2,2.5,1,1,8000,3,1125,3,1125,t,f
3427384,Tatoo ok! Onsen of 400 years of history【禅】,13018876,Edogawa Ku,Entire rental unit,Entire home/apt,3,1.5,1,2,7260,2,60,2,1125,t,t
3514008,誠道館 303／静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Arakawa Ku,Entire rental unit,Entire home/apt,2,1.5,1,2,2900,1,1125,1,1125,t,f
3563698,"Clean and comfortable apartment in Machida, Tokyo",11583876,Machida Shi,Entire rental unit,Entire home/apt,2,1,1,2,4800,5,364,5,1125,t,t
3572139,Modern Japanese house w/ garden,15514130,Toshima Ku,Entire home,Entire home/apt,6,1,3,6,39229,3,90,3,90,t,f
3623844,Tatoo ok! TOKYO♨ONSEN and ROOM【寿】,13018876,Edogawa Ku,Entire rental unit,Entire home/apt,3,1.5,1,4,7549,2,60,2,1125,t,t
3657357,2 Tiny Apartments - 1 Listing Central Tokyo Nakano,4847803,Nakano Ku,Entire rental unit,Entire home/apt,6,2,2,5,25738,2,20000,4,10733,t,f
3689244,渋谷区・原宿近くマンション2DK / MDS2BR,18776800,Shibuya Ku,Entire rental unit,Entire home/apt,7,1,2,4,34000,3,180,3,180,t,f
3744742,"(3) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Kita Ku,Entire rental unit,Entire home/apt,5,1,1,5,8929,3,1124,1.1,1125,t,t
3775528,SHIBUYA12min/Fancy&Warm house,19358663,Setagaya Ku,Private room in home,Private room,2,1,1,1,16086,1,60,1,60,t,f
3793206,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室10F B,8142772,Shinjuku Ku,Private room in rental unit,Private room,1,1,1,1,12800,2,1125,2,1125,t,f
3793412,＊新宿・大久保徒歩圏内＊コンビニ徒歩1分＊屋上から夜景ビュー 個室 JUST2B,8142772,Shinjuku Ku,Private room in rental unit,Private room,1,1,1,1,12800,2,1125,2,1125,t,f
3814258,apartment hotel TASU TOCO,19611972,Suginami Ku,Entire rental unit,Entire home/apt,3,1,1,3,8714,3,1125,3,1125,t,t
3838856,SHINJUKU ★Designer Pencil House★ Airport Transfer,4626879,Shibuya Ku,Entire home,Entire home/apt,7,1.5,3,5,56250,1,1125,1.9,713.2,t,f
3845889,COZY LOFT BEDROOM　#106,19089769,Suginami Ku,Entire rental unit,Entire home/apt,2,1,1,1,12000,3,1125,3,1125,t,f
3846001,COZY COMFY apartment,19089769,Suginami Ku,Entire rental unit,Entire home/apt,2,1,0,1,12000,4,90,4,90,t,f
3871442,Nishi-Ogikubo 1BR Roomy (SSH1BRR-S),18776800,Suginami Ku,Entire rental unit,Entire home/apt,2,1,1,1,19214,3,180,3,180,t,f
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Shibuya Ku,Entire home,Entire home/apt,7,1.5,3,1,50143,5,360,5,360,t,f
3920124,"Residential area, Peaceful Traditional House 2",20307199,Higashimurayama Shi,Entire home,Entire home/apt,4,1,2,6,80432,1,1000,1,1000,t,f
3956263,TINY Home in Shibuya Close to Shinjuku,4847803,Shibuya Ku,Tiny home,Entire home/apt,5,1,2,3,17695,2,1125,4,766.3,t,f
4026948,Near Shinagawa Shibuya Haneda,20878710,Shinagawa Ku,Private room in home,Private room,2,1,1,2,5900,3,1125,3,1125,t,t
4047596,Enjoy Central Tokyo Yamanote Life 2BR Condo,6504053,Shinagawa Ku,Entire condo,Entire home/apt,4,1.5,2,4,35000,7,120,7.2,120,t,f
4050925,Airport transfer service&Asakusa traditional house,21004633,Taito Ku,Entire home,Entire home/apt,8,1,2,0,40000,2,1125,2,1125,t,t
4141228,#211 Private Cozy Apt. in Tokyo,17736560,Nakano Ku,Entire rental unit,Entire home/apt,2,1,1,1,11951,3,1125,3,1125,t,f
4360718,"(2) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Kita Ku,Entire rental unit,Entire home/apt,5,1,1,5,10600,1,1124,8.2,1125,t,t
4388283,Sunny room in residential area in 国分寺 1st Floor,10969488,Kokubunji Shi,Private room in home,Private room,2,1,1,0,5539,2,1125,2,1125,t,f
4396219,Nishi-Ogikubo 1BR Twin Type-B (SSH1BRT-B) 2F,18776800,Suginami Ku,Entire rental unit,Entire home/apt,4,1,1,2,19214,3,180,3,180,t,f
4396221,Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F,18776800,Suginami Ku,Entire rental unit,Entire home/apt,3,1,1,2,23643,3,1125,3,1125,t,f
4495014,"(6) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Kita Ku,Entire rental unit,Entire home/apt,5,1,1,5,11200,3,1124,7.9,1125,t,t
4540924,"2persons Hino room #2, Shinjuku28min Shibuya38min",23416902,Hino Shi,Entire rental unit,Entire home/apt,2,1,1,2,6595,4,20,4,20,t,f
4606903,Reversible Destiny Lofts—Mitaka / for 2people,23871736,Mitaka Shi,Private room in rental unit,Private room,2,1,1,2,20000,3,30,3,30,t,f
4616579,Furnished Private Apt.213,17736560,Nakano Ku,Entire rental unit,Entire home/apt,2,1,1,1,11951,3,1125,3,1125,t,f
4673248,Reversible Destiny Lofts—Mitaka / for 4people,23871736,Mitaka Shi,Entire rental unit,Entire home/apt,4,1,2,4,25000,3,30,3,30,t,f
4690684,"Rm2 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",22643572,Higashimurayama Shi,Private room in home,Private room,2,1,1,0,4400,10,90,10,90,t,f
4691157,"Rm3 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",22643572,Higashimurayama Shi,Private room in home,Private room,2,1,1,2,4200,30,125,29.4,125,t,f
4750169,4persons! Shinjuku30min Tokyo45min!,23416902,Hino Shi,Entire rental unit,Entire home/apt,2,1,1,2,7557,4,20,4,20,t,f
4813245,*Tokyo House group&family upto5 & carpark FastWIFI,9782688,Toshima Ku,Entire home,Entire home/apt,5,1,3,4,33735,4,1125,4,1125,t,t
4817291,56㎡ Let's go to Asakusa & Akihabara,23595333,Taito Ku,Entire rental unit,Entire home/apt,5,1,1,2,17000,3,365,3,1125,t,f
4825779,Japanese Modern Apt / 2 Stops to Shinjuku (#1),24812892,Shibuya Ku,Entire rental unit,Entire home/apt,2,1,0,1,18000,1,365,1,297.5,t,t
4842239,"Access into center  Tokyo,for economize travelers",24087904,Bunkyo Ku,Entire home,Entire home/apt,3,1.5,1,2,6000,1,1125,1,1125,t,f
4849854,Villa Takaosan,400207807,Hachioji Shi,Entire villa,Entire home/apt,6,1,1,2,17571,2,365,2,365,t,f
4888140,"(1) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Kita Ku,Entire rental unit,Entire home/apt,5,1,1,5,10600,3,1124,7.9,1125,t,t
4925503,#103　新宿/渋谷 shinjuku/shibuya 2024/1  リニューアルオープン,25370510,Shibuya Ku,Entire rental unit,Entire home/apt,3,1,1,2,12000,2,1125,2,1125,t,f
4925745,New House 100㎡ near metro happy!!!!,23595333,Taito Ku,Entire home,Entire home/apt,6,1,2,3,28700,2,1125,2,1125,t,f
4926317,#102 SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 2023年5月リニューアルオープン！,25370510,Shibuya Ku,Entire rental unit,Entire home/apt,2,1,1,1,11143,2,1125,2,1125,t,f
4926426,#203  shibya/shinjuku 幡ヶ谷駅近  2023/12 リニューアルオープン！,25370510,Shibuya Ku,Entire rental unit,Entire home/apt,2,1,1,1,10000,2,1125,2,1125,t,f
5070495,Private Cozy Apt. 111 in Tokyo,17736560,Nakano Ku,Entire rental unit,Entire home/apt,2,1,1,1,11951,3,1125,3,1125,t,f
5080877,Decoboco,21769906,Koto Ku,Entire home,Entire home/apt,3,1,1,2,6229,1,30,1,30,t,t
5128293,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No3 ドミトリールーム,8142772,Shinjuku Ku,Shared room in rental unit,Shared room,8,1,1,8,7760,2,1125,2,1125,t,f
5198467,Wonderful Japanese style OTOME! (*´ω｀),25911199,Bunkyo Ku,Entire home,Entire home/apt,7,1,2,5,45000,3,120,3,120,t,f
5217466,#411 Private Cozy Apt. in Tokyo,17736560,Nakano Ku,Entire rental unit,Entire home/apt,2,1,1,1,11951,3,1125,3,1125,t,f
5262640,Private Cozy Apt in Tokyo 413,17736560,Nakano Ku,Entire rental unit,Entire home/apt,2,1,1,1,12065,3,1125,3,1125,t,f
5262658,Private Cozy Apt in Tokyo 311,17736560,Nerima Ku,Entire rental unit,Entire home/apt,2,1,1,1,11951,3,1125,3,1125,t,f
5410242,Steve's International Guest Place,28045851,Suginami Ku,Entire rental unit,Entire home/apt,2,1,1,2,10456,4,60,4,60,t,f
5464293,Finest Cafe/Bar/Hotel 3F in Asagaya TOKYO /w WIFI,28340699,Suginami Ku,Entire rental unit,Entire home/apt,4,1.5,0,2,8000,2,1125,2,1125,t,f
5564391,*SACRED FOREST 神の森* Natural Stylish Healing ♡ Cozy,28837813,Nerima Ku,Private room in home,Private room,2,1,1,1,5800,1,1125,1,1125,t,f
5633430,Furnished Private Apt. 412 www.airbnb.jp/c/a87d19,17736560,Nerima Ku,Entire rental unit,Entire home/apt,2,1,1,1,12755,3,1125,3,1125,t,f
5641920,#312 Furnished Private Apt.,17736560,Nakano Ku,Entire rental unit,Entire home/apt,2,1,1,1,12755,3,1125,3,1125,t,f
5673677,羽根木の森の部屋,15282125,Setagaya Ku,Private room in home,Private room,2,1,1,2,16000,7,90,7,90,t,f
5738050,Enjoy local life in Tokyo,29758027,Ota Ku,Entire home,Entire home/apt,3,1,1,4,5586,3,1125,3,1125,t,t
5815506,東京根津ステンドグラス美術館＆ゲストハウス（Since 2019),18289292,Bunkyo Ku,Private room in home,Private room,4,1,2,4,6800,3,1125,3,1125,t,f
5876019,"Residential area, Peaceful Traditional House 1",20307199,Higashimurayama Shi,Private room in home,Private room,2,1.5,1,1,6714,3,1125,3,1125,t,f
5932309,"Japanese cosy vintage house, easy access in Tokyo",30745996,Kita Ku,Entire home,Entire home/apt,3,1,2,2,9786,2,30,2.3,1125,t,f
5936568,"Private apartment in Tokyo machida, 17m2",22038803,Machida Shi,Entire rental unit,Entire home/apt,2,1,1,1,5500,5,90,5,90,t,f
5947917,浅草民泊旅館1F　※閑静な住宅街！Private！隅田川、奥浅草散策,30879374,Taito Ku,Private room in home,Private room,4,1,1,4,14000,2,10,2,10,t,t
5963368,Near池袋-Trad. JP. villa w/ free wifi,29681737,Nerima Ku,Private room in villa,Private room,3,2,1,1,9800,1,1125,1,1125,t,t
5979941,"7min to Station, Japanese style room, Free WiFi",30840659,Katsushika Ku,Private room in home,Private room,4,1,1,4,10343,2,21,2.3,21,t,f
6050643,"Residential area, Peaceful Traditional House 3",20307199,Higashimurayama Shi,Hut,Entire home/apt,9,1,2,2,20000,2,1124,2,1124,t,f
6214018,Room202 Ikebukuro is 5 min by train,24219962,Kita Ku,Private room in home,Private room,2,1.5,1,2,3286,4,31,4,31,t,f
6308465,"60㎡,5beds,3mins to Shibuya Sta",32815136,Meguro Ku,Entire home,Entire home/apt,6,1,2,4,50000,1,90,1,90,t,t
6365363,SHITAMACHI BASE/Quiet new apt.room101/skytree view,33170407,Sumida Ku,Entire loft,Entire home/apt,2,1,1,2,10286,1,365,1.3,365,t,t
6374299,AM's House(竹)  with a 24-hour co-working space!,30314225,Toshima Ku,Entire rental unit,Entire home/apt,6,1,2,6,16929,3,1125,3,1125,t,t
6380625,Sunny House in a Leafy Street,33088758,Suginami Ku,Entire home,Entire home/apt,6,1,1,2,30571,3,1125,3,1125,t,f
6439108,Daisuke's Luxury Shimokita Apt #2,10705201,Setagaya Ku,Entire rental unit,Entire home/apt,3,1,1,3,11429,2,1125,2,1125,t,f
6505073,(4)高速Wifi完備・新宿へ電車11分・JR十条駅徒歩8分（JR埼京線で池袋5分・渋谷19分),19152993,Kita Ku,Entire rental unit,Entire home/apt,5,1,1,5,13440,3,1124,1.3,1125,t,t
6562355,Middle of Shinjuku and Kamakura,2008948,Machida Shi,Private room in home,Private room,2,1,1,1,6435,1,7,1,7,t,f
6592213,チョープコンタイハウス（和室の個室、バストイレは共用）,34475322,Machida Shi,Private room in home,Private room,3,1,1,0,3643,1,1125,1,1125,t,f
6613961,Room205 Ikebukuro is 5 min by train,24219962,Kita Ku,Private room in home,Private room,2,2.5,1,2,3443,3,31,3,31,t,f
6627048,4人入居可能。JR山手線・地下鉄「池袋」西口、C1出口徒歩7 分・徒歩５分内スーパー有り,34155786,Toshima Ku,Entire rental unit,Entire home/apt,4,1.5,1,2,10488,2,365,2,1125,t,t
6636522,Private room#13minutes by train to Tokyo station,34735989,Bunkyo Ku,Private room in ryokan,Private room,1,1.5,1,1,4864,1,180,1,180,t,f
6646878,near shibuya quiet residential area,34561184,Setagaya Ku,Private room in home,Private room,2,1.5,1,1,10123,1,1125,1,1125,t,f
6648293,"High speed internet ,8min walk from JR Osaki",5749679,Shinagawa Ku,Private room in serviced apartment,Private room,2,1,1,1,7900,2,90,2,1125,t,f
6719865,Yanesen  Traditional Nagaya house,11025259,Taito Ku,Entire home,Entire home/apt,6,1,3,6,24130,3,1125,3,1125,t,t
6749824,羽田、成田から一時間の便利な立地です。,35340956,Taito Ku,Private room in home,Private room,1,1,1,1,5514,2,1125,2,1125,t,t
6750472,4A. Asakusa Station 8min •Asakusa temple 5min,30828383,Taito Ku,Entire rental unit,Entire home/apt,5,1,1,4,16429,2,730,2,1125,t,t
6768640,SHITAMACHI BASE/Quiet new apt.room102/skytree view,33170407,Sumida Ku,Entire loft,Entire home/apt,2,1,1,2,10286,1,365,1.3,365,t,t
6785470,DOMUS MUSASHINO -Sakura View-,35525878,Kodaira Shi,Entire rental unit,Entire home/apt,3,1,1,3,5100,5,90,5,90,t,f
6800607,#313 Private Cozy Apt. in Tokyo,17736560,Nerima Ku,Entire rental unit,Entire home/apt,2,1,1,1,11951,3,1125,3,1125,t,f
6803014,"Minato-ku, Tokyo, Nature-Rich-Designer""Tiny"" House",35614067,Minato Ku,Entire home,Entire home/apt,2,1,1,1,30000,4,30,4,1125,t,f
6812578,"Female,Couple/Less 15min to Shibuya",26386727,Shinagawa Ku,Private room in home,Private room,2,0.5,1,2,10429,2,7,2,7,t,f
6837981,SHITAMACHI BASE/Quiet new apt.room103/skytree view,33170407,Sumida Ku,Entire loft,Entire home/apt,2,1,1,2,10286,1,365,1.3,365,t,t
6838363,SHITAMACHI BASE/Quiet new apt.room201/skytree view,33170407,Sumida Ku,Entire loft,Entire home/apt,2,1,1,4,10286,1,365,1.3,365,t,t
6838964,SHITAMACHI BASE/Quiet new apt.room202/skytree view,33170407,Sumida Ku,Entire loft,Entire home/apt,2,1,1,2,13571,1,365,1.3,365,t,t
6854721,Decoboco＋,21769906,Koto Ku,Entire home,Entire home/apt,4,1,2,2,7857,2,1125,1,1125,t,f
6856801,Nishi-Ogikubo 1BR Studio Type-B (SSH1BRS-B) 5F,18776800,Suginami Ku,Entire rental unit,Entire home/apt,2,1,1,1,18714,3,180,3,180,t,f
6859825,Room103 Ikebukuro is 5 min by train,24219962,Kita Ku,Private room in home,Private room,2,0.5,1,2,3071,4,31,4,31,t,f
6874108,Shinjuku/Shin-Okubo 5 min Comfy 2BR [HL4A],269182185,Shinjuku Ku,Entire rental unit,Entire home/apt,4,1.5,2,2,27311,1,365,2,14,t,f
6875368,One hour from the airport.Good access to all,35340956,Taito Ku,Private room in home,Private room,2,1,1,2,6500,2,1125,2,1125,t,t
6914633,☆KOUENJI 5min / SHINJUKU 9min (Free WiFi) ☆,33705289,Suginami Ku,Entire loft,Entire home/apt,2,1,2,2,9800,1,1125,1,1125,t,f
6939875,Near station! Free parking included! Pet friendly!,35828905,Shinagawa Ku,Entire home,Entire home/apt,3,1,1,2,17886,1,30,1,1125,t,f
6975801,"Japanese Modern Studio, 2 stops to Shinjuku (#2)",36396507,Shibuya Ku,Private room in serviced apartment,Private room,2,1,0,1,13429,1,365,1,297.5,t,t
7038511,3番伝統日本家屋都内には珍しい东京日本Free Wifi-2,29681737,Itabashi Ku,Private room in villa,Private room,3,2,1,1,9800,1,1125,1,1125,t,t
7038653,4番伝統日本家屋都内には珍しい东京日本Free Wifi-3别墅民宿,29681737,Nerima Ku,Private room in home,Private room,2,2,1,1,7880,1,1125,1,1125,t,f
7038739,伝統日本家屋都内には珍しい东京日本Free Wifi,29681737,Nerima Ku,Private room in villa,Private room,3,2,1,2,10400,1,1125,1,1125,t,t
7043818,Quiet Shinjuku-area＊２BR＊36㎡＊optical line with desk,34076095,Shinjuku Ku,Entire rental unit,Entire home/apt,5,1,2,2,25738,5,165,5,1125,t,t
7057399,102Tokyo JRHiraiSt. take a walk 9minutes apartment,37012733,Edogawa Ku,Entire rental unit,Entire home/apt,2,1,1,2,6000,6,180,6,180,t,f
7123125,Condo 201 (Fully Renovated Flat in Central Tokyo),37312047,Minato Ku,Entire condo,Entire home/apt,5,1,2,2,30000,30,120,30,120,t,f
7136098,☆☆KOUENJI 5min / SHINJUKU 10min Free WiFi ☆☆,33705289,Suginami Ku,Entire loft,Entire home/apt,2,1,2,4,9800,1,1125,1,1125,t,f
7149882,a) 4min walk Ikebukuro/ 78 sqm/ Free wifi/ 8BEDS,29253527,Toshima Ku,Entire rental unit,Entire home/apt,10,1,3,8,33000,3,365,3,1125,t,t
7170836,Direct NaritAirport/Shinjuku/Akihabara/Tokyo Sta.,37525225,Katsushika Ku,Entire home,Entire home/apt,10,2,4,2,25714,1,730,1,1125,t,t
7217107,#212 1bed in a mixed dorm.sleep 2 people together,30883070,Koto Ku,Shared room in hostel,Shared room,2,0,1,1,2263,2,60,2,60,t,t
7227038,"Azabu- spacious apt,Hammock♥",37836517,Minato Ku,Entire rental unit,Entire home/apt,5,1,1,3,25643,2,1125,2,1125,t,f
7281726,Reiko's cosy flat near Tamagawa University,38131090,Machida Shi,Entire guest suite,Entire home/apt,3,1,3,3,10000,1,50,1,1125,t,t
7310511,#214 1bed in a mixed dorm.sleep 2 people together,30883070,Koto Ku,Shared room in hostel,Shared room,2,0,1,1,2496,2,60,2,60,t,t
7322455,Takahata Private Apartment 105,13088224,Hino Shi,Entire rental unit,Entire home/apt,3,1,0,2,4729,5,14,5,1125,t,f
7349832,101Tokyo JRHirai St. take a walk9minutes apartment,37012733,Edogawa Ku,Entire rental unit,Entire home/apt,2,1,1,2,6000,6,180,5.9,180,t,f
7353004,"Riversideroom Shinjyuku28min, Shibuya35min 2person",38526810,Hino Shi,Entire rental unit,Entire home/apt,2,1,1,4,6800,4,90,4,1125,t,t
7358397,"Peaceful Riverside View, Asakusa",37545792,Taito Ku,Entire rental unit,Entire home/apt,4,1,1,2,36000,2,20,2,20,t,f
7370013,Renovated Mar2024/Private Room/2Double beds/FST302,30883070,Koto Ku,Private room in hostel,Private room,4,1,1,2,5959,1,60,1,60,t,t
7389965,#213 ToeiShinjuku&Hanzomon. Sake&tea. 7min to Sta.,30883070,Koto Ku,Shared room in hostel,Shared room,1,0,1,0,2284,2,60,2,60,t,t
7393044,#211 Good access. Convenient. 7mins to Sta.,30883070,Koto Ku,Shared room in hostel,Shared room,1,0,1,1,2649,1,60,1,60,t,t
7406024,Cozy House near Ajinomoto Studium TUFS/ICU/ASIJ,36829680,Fuchu Shi,Entire home,Entire home/apt,6,1,3,2,17714,2,30,2,30,t,f
7450080,Japanese style room near Shinjuku,39017078,Suginami Ku,Private room in home,Private room,2,1,1,2,6500,180,1125,180,1125,t,t
7484849,"10min to Shibuya,Shinjuku Cosy room",39201606,Setagaya Ku,Private room in rental unit,Private room,2,1,1,1,22857,1,1125,1,1125,t,f
7620544,(和室3人)最寄駅２駅-日比谷線/半蔵門線直通－浅草/上野/秋葉原/築地/銀座 /渋谷,39969626,Adachi Ku,Private room in home,Private room,3,1,1,0,18286,3,365,3,365,t,t
7625528,[S6B] Shinjuku/Shin-Okubo 5 min Bright Apt,269182185,Shinjuku Ku,Entire rental unit,Entire home/apt,3,1,0,1,21224,1,365,2,14,t,t
7718263,sinjyuku house3minutea Okubo Station,40553944,Shinjuku Ku,Entire rental unit,Entire home/apt,5,1,1,3,16487,2,1125,2,1125,t,t
7876373,"403 · Nihonbasi/Imperial Palace/Akihabara,walk 15min",41516927,Chuo Ku,Shared room in rental unit,Shared room,2,2,1,2,6084,2,180,2,180,t,t
7876385,"402 · Tokyo sta/Nihonbasi/Imperial Palace/Ginza, #402",41516927,Chuo Ku,Shared room in rental unit,Shared room,2,3,1,1,6560,1,180,1.8,180,t,t
7876639,"405 · Center of Tokyo,Quite Area Location #405",41516927,Chuo Ku,Shared room in rental unit,Shared room,2,2,1,2,5597,2,120,2,899.8,t,t
7899504,Top edge house 202,38655722,Suginami Ku,Private room in home,Private room,2,1.5,1,1,4800,1,180,1,180,t,f
