host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
4847803,Best Stay In Tokyo!,1/25/2013,"Tokyo, Japan",within an hour,1,1,t,6,17,"['email', 'phone']",t,t
18776800,近藤,7/24/2014,"Tokyo, Japan",within a few hours,1,0.93,t,20,21,"['email', 'phone']",t,t
19152993,Sei,7/30/2014,"Tokyo, Japan",within an hour,1,0.98,f,9,9,"['email', 'phone']",t,t
19358663,Mikako,8/2/2014,"Tokyo, Japan",within an hour,1,0.92,f,1,1,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
19611972,岩間,8/7/2014,"Tokyo, Japan",within an hour,1,0.97,t,3,3,"['email', 'phone']",t,t
4626879,Tracey,1/8/2013,"Tokyo, Japan",within an hour,1,1,t,11,13,"['email', 'phone', 'work_email']",t,t
19089769,Manami,7/29/2014,"Suginami, Japan",within an hour,1,0.97,t,2,2,"['email', 'phone']",t,t
19089769,Manami,7/29/2014,"Suginami, Japan",within an hour,1,0.97,t,2,2,"['email', 'phone']",t,t
18776800,近藤,7/24/2014,"Tokyo, Japan",within a few hours,1,0.93,t,20,21,"['email', 'phone']",t,t
10415965,Azabu,12/3/2013,"Tokyo, Japan",within an hour,1,0.98,f,2,3,"['email', 'phone']",t,t
20307199,Hotaka,8/20/2014,"Tokyo, Japan",within an hour,1,0.77,t,3,5,"['email', 'phone']",t,t
4847803,Best Stay In Tokyo!,1/25/2013,"Tokyo, Japan",within an hour,1,1,t,6,17,"['email', 'phone']",t,t
20878710,Daisuke,9/3/2014,"Shinagawa, Japan",within an hour,1,1,f,1,2,"['email', 'phone']",t,t
6504053,Bryan,5/21/2013,"Tokyo, Japan",within an hour,1,0.92,t,2,2,"['email', 'phone']",t,t
21004633,Yoshi,9/6/2014,"Taito City, Japan",within an hour,1,1,t,6,6,"['email', 'phone']",t,t
17736560,タツロウ (Taturo),7/6/2014,"Nakano, Japan",within an hour,1,0.99,t,10,19,"['email', 'phone']",t,t
19152993,Sei,7/30/2014,"Tokyo, Japan",within an hour,1,0.98,f,9,9,"['email', 'phone']",t,t
10969488,Como,1/2/2014,Japan,within a few hours,1,0.74,f,4,13,"['email', 'phone']",t,t
18776800,近藤,7/24/2014,"Tokyo, Japan",within a few hours,1,0.93,t,20,21,"['email', 'phone']",t,t
18776800,近藤,7/24/2014,"Tokyo, Japan",within a few hours,1,0.93,t,20,21,"['email', 'phone']",t,t
19152993,Sei,7/30/2014,"Tokyo, Japan",within an hour,1,0.98,f,9,9,"['email', 'phone']",t,t
23416902,Naga,11/6/2014,"Tokyo, Japan",within an hour,1,1,t,2,6,"['email', 'phone']",t,t
23871736,Matsuda,11/17/2014,"Suginami, Japan",within a few hours,1,0.87,t,2,2,"['email', 'phone']",t,t
17736560,タツロウ (Taturo),7/6/2014,"Nakano, Japan",within an hour,1,0.99,t,10,19,"['email', 'phone']",t,t
23871736,Matsuda,11/17/2014,"Suginami, Japan",within a few hours,1,0.87,t,2,2,"['email', 'phone']",t,t
22643572,Sachiko,10/17/2014,"Higashimurayama, Japan",within a few hours,1,0.94,t,3,4,"['email', 'phone']",t,t
22643572,Sachiko,10/17/2014,"Higashimurayama, Japan",within a few hours,1,0.94,t,3,4,"['email', 'phone']",t,t
23416902,Naga,11/6/2014,"Tokyo, Japan",within an hour,1,1,t,2,6,"['email', 'phone']",t,t
9782688,Kevin,11/3/2013,"Tokyo, Japan",within a few hours,1,0.97,f,5,5,"['email', 'phone']",t,t
23595333,Keiko,11/11/2014,"Taito, Japan",within an hour,1,1,,4,4,"['email', 'phone']",t,t
24812892,Mao,12/14/2014,"Tokyo, Japan",within an hour,1,1,f,1,10,"['email', 'phone']",t,t
24087904,Rinrin,11/23/2014,"Matsudo, Japan",within an hour,1,0.98,f,2,2,"['email', 'phone']",t,t
19152993,Sei,7/30/2014,"Tokyo, Japan",within an hour,1,0.98,f,9,9,"['email', 'phone']",t,t
25370510,Mitsuko,12/29/2014,"Shibuya City, Japan",within an hour,1,0.99,t,6,6,"['email', 'phone']",t,f
23595333,Keiko,11/11/2014,"Taito, Japan",within an hour,1,1,,4,4,"['email', 'phone']",t,t
25370510,Mitsuko,12/29/2014,"Shibuya City, Japan",within an hour,1,0.99,t,6,6,"['email', 'phone']",t,f
25370510,Mitsuko,12/29/2014,"Shibuya City, Japan",within an hour,1,0.99,t,6,6,"['email', 'phone']",t,f
17736560,タツロウ (Taturo),7/6/2014,"Nakano, Japan",within an hour,1,0.99,t,10,19,"['email', 'phone']",t,t
21769906,Decoboco,9/25/2014,"Tokyo, Japan",within an hour,1,1,t,3,6,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
25911199,Tomoya,1/10/2015,"Tokyo, Japan",within a day,1,0.97,t,1,17,"['email', 'phone']",t,t
17736560,タツロウ (Taturo),7/6/2014,"Nakano, Japan",within an hour,1,0.99,t,10,19,"['email', 'phone']",t,t
17736560,タツロウ (Taturo),7/6/2014,"Nakano, Japan",within an hour,1,0.99,t,10,19,"['email', 'phone']",t,t
17736560,タツロウ (Taturo),7/6/2014,"Nakano, Japan",within an hour,1,0.99,t,10,19,"['email', 'phone']",t,t
28340699,Kimmy And Dee,2/25/2015,,within an hour,1,1,f,6,7,"['email', 'phone']",t,t
28837813,Insta-Homes,3/5/2015,"Tokyo, Japan",within a day,0.93,0.78,t,5,16,"['email', 'phone']",t,f
17736560,タツロウ (Taturo),7/6/2014,"Nakano, Japan",within an hour,1,0.99,t,10,19,"['email', 'phone']",t,t
17736560,タツロウ (Taturo),7/6/2014,"Nakano, Japan",within an hour,1,0.99,t,10,19,"['email', 'phone']",t,t
15282125,Kanako,5/8/2014,"Setagaya City, Japan",within an hour,1,0.92,t,2,5,"['email', 'phone']",t,t
29758027,Chieko,3/21/2015,"Ota City, Japan",within an hour,1,1,t,1,1,"['email', 'phone']",t,t
18289292,武男,7/17/2014,"Bunkyo City, Japan",within a few hours,1,0.51,t,1,3,"['email', 'phone']",t,t
20307199,Hotaka,8/20/2014,"Tokyo, Japan",within an hour,1,0.77,t,3,5,"['email', 'phone']",t,t
30745996,Chie,4/7/2015,"Itabashi City, Japan",within an hour,1,0.97,t,1,3,"['email', 'phone']",t,t
22038803,Suda,10/2/2014,"Machida, Japan",within an hour,1,1,t,1,3,"['email', 'phone']",t,t
30879374,Masayasu,4/8/2015,"Tokyo, Japan",within an hour,1,1,t,3,5,"['email', 'phone']",t,t
29681737,文娟,3/20/2015,"Nerima, Japan",within an hour,1,1,t,6,18,"['email', 'phone']",t,t
30840659,Guesthouse,4/8/2015,"Katsushika, Japan",within a few hours,1,0.97,f,5,7,"['email', 'phone']",t,t
20307199,Hotaka,8/20/2014,"Tokyo, Japan",within an hour,1,0.77,t,3,5,"['email', 'phone']",t,t
24219962,Hiroya,11/27/2014,"Kita City, Japan",within an hour,1,1,f,4,5,"['email', 'phone']",t,t
33170407,Hiroyoshi,5/12/2015,"Sumida, Japan",within an hour,0.94,1,f,12,13,"['email', 'phone']",t,t
30314225,Ryo & Yuri,3/30/2015,"Toshima City, Japan",within an hour,1,0.94,t,3,5,"['email', 'phone', 'work_email']",t,t
33088758,Nayu,5/11/2015,"Tokyo, Japan",within an hour,1,1,t,1,1,"['email', 'phone']",t,t
10705201,Daisuke,12/19/2013,,within an hour,1,1,t,3,5,"['email', 'phone', 'work_email']",t,t
19152993,Sei,7/30/2014,"Tokyo, Japan",within an hour,1,0.98,f,9,9,"['email', 'phone']",t,t
2008948,Miharu,3/26/2012,"Machida, Japan",within an hour,1,0.89,f,1,1,"['email', 'phone']",t,t
34475322,Masaru,5/28/2015,"Machida, Japan",within an hour,1,0.98,t,3,5,"['email', 'phone']",t,t
24219962,Hiroya,11/27/2014,"Kita City, Japan",within an hour,1,1,f,4,5,"['email', 'phone']",t,t
34155786,Ij,5/25/2015,"Itabashi City, Japan",within an hour,1,1,f,28,40,"['email', 'phone']",t,t
34735989,茂,6/1/2015,"Bunkyo City, Japan",within an hour,1,0.98,t,15,17,"['email', 'phone', 'work_email']",t,t
34561184,Toshiro & Tanya,5/30/2015,"Shibuya, Japan",within an hour,1,0.99,f,9,11,"['email', 'phone']",t,t
5749679,Sayoko,4/3/2013,"Shinagawa, Japan",within an hour,1,0.99,t,2,4,"['email', 'phone']",t,t
11025259,Takamitsu,1/4/2014,"Shibuya, Japan",within an hour,1,0.99,f,2,2,"['email', 'phone']",t,t
35340956,Yoshio,6/8/2015,,within an hour,1,1,t,2,2,"['email', 'phone']",t,t
30828383,美香,4/8/2015,"Tokyo, Japan",within an hour,1,1,t,5,12,"['email', 'phone']",t,t
33170407,Hiroyoshi,5/12/2015,"Sumida, Japan",within an hour,0.94,1,f,12,13,"['email', 'phone']",t,t
17736560,タツロウ (Taturo),7/6/2014,"Nakano, Japan",within an hour,1,0.99,t,10,19,"['email', 'phone']",t,t
35614067,Kan,6/12/2015,"Minato, Japan",within an hour,1,1,t,2,4,"['email', 'phone', 'work_email']",t,t
26386727,Mami,1/19/2015,"Shinagawa, Japan",within an hour,1,0.98,t,1,1,"['email', 'phone']",t,t
33170407,Hiroyoshi,5/12/2015,"Sumida, Japan",within an hour,0.94,1,f,12,13,"['email', 'phone']",t,t
33170407,Hiroyoshi,5/12/2015,"Sumida, Japan",within an hour,0.94,1,f,12,13,"['email', 'phone']",t,t
33170407,Hiroyoshi,5/12/2015,"Sumida, Japan",within an hour,0.94,1,f,12,13,"['email', 'phone']",t,t
21769906,Decoboco,9/25/2014,"Tokyo, Japan",within an hour,1,1,t,3,6,"['email', 'phone']",t,t
18776800,近藤,7/24/2014,"Tokyo, Japan",within a few hours,1,0.93,t,20,21,"['email', 'phone']",t,t
24219962,Hiroya,11/27/2014,"Kita City, Japan",within an hour,1,1,f,4,5,"['email', 'phone']",t,t
35340956,Yoshio,6/8/2015,,within an hour,1,1,t,2,2,"['email', 'phone']",t,t
33705289,Tomomasa,5/19/2015,"Suginami, Japan",within an hour,1,0.99,f,4,7,"['phone', 'work_email']",t,t
35828905,Kanako,6/14/2015,"Shinagawa City, Japan",within an hour,1,0.98,t,1,1,"['email', 'phone']",t,t
36396507,Yuka,6/22/2015,"Tokyo, Japan",within an hour,1,1,f,5,6,"['email', 'phone']",t,t
29681737,文娟,3/20/2015,"Nerima, Japan",within an hour,1,1,t,6,18,"['email', 'phone']",t,t
29681737,文娟,3/20/2015,"Nerima, Japan",within an hour,1,1,t,6,18,"['email', 'phone']",t,t
29681737,文娟,3/20/2015,"Nerima, Japan",within an hour,1,1,t,6,18,"['email', 'phone']",t,t
34076095,Yumi,5/23/2015,"Shinjuku, Japan",within an hour,1,1,t,1,1,"['email', 'phone']",t,t
37012733,Mariko,6/29/2015,"Tokyo, Japan",within a few hours,1,0.91,t,3,3,"['email', 'phone']",t,t
37312047,Kae,7/2/2015,"Minato, Japan",within an hour,1,0.9,t,5,5,"['email', 'phone', 'work_email']",t,t
33705289,Tomomasa,5/19/2015,"Suginami, Japan",within an hour,1,0.99,f,4,7,"['phone', 'work_email']",t,t
29253527,Momo,3/13/2015,"Tokyo, Japan",within an hour,1,0.99,,28,49,"['email', 'phone']",t,t
37525225,鹰,7/5/2015,"Bunkyo City, Japan",within an hour,1,1,t,3,5,"['email', 'phone']",t,t
30883070,Takeshi,4/9/2015,"Chiyoda City, Japan",within an hour,1,1,,48,51,"['email', 'phone', 'work_email']",t,t
37836517,Akari,7/7/2015,"Minato, Japan",within an hour,1,1,t,1,1,"['email', 'phone']",t,t
38131090,怜子,7/11/2015,"Machida, Japan",within an hour,1,1,f,1,1,"['email', 'phone']",t,t
30883070,Takeshi,4/9/2015,"Chiyoda City, Japan",within an hour,1,1,,48,51,"['email', 'phone', 'work_email']",t,t
13088224,Rickie,3/13/2014,"Shibuya City, Japan",within an hour,1,1,f,9,9,"['email', 'phone']",t,t
37012733,Mariko,6/29/2015,"Tokyo, Japan",within a few hours,1,0.91,t,3,3,"['email', 'phone']",t,t
38526810,Yoshi,7/15/2015,"Shinagawa, Japan",within an hour,1,1,f,1,6,"['email', 'phone']",t,t
37545792,Harumi,7/5/2015,"Taito, Japan",within a few hours,1,0.89,t,1,1,"['email', 'phone']",t,t
30883070,Takeshi,4/9/2015,"Chiyoda City, Japan",within an hour,1,1,,48,51,"['email', 'phone', 'work_email']",t,t
30883070,Takeshi,4/9/2015,"Chiyoda City, Japan",within an hour,1,1,,48,51,"['email', 'phone', 'work_email']",t,t
30883070,Takeshi,4/9/2015,"Chiyoda City, Japan",within an hour,1,1,,48,51,"['email', 'phone', 'work_email']",t,t
36829680,Jimmy'S Family,6/26/2015,"Fuchu, Japan",within an hour,1,1,t,1,4,"['email', 'phone']",t,t
39201606,Yamagata,7/22/2015,"Setagaya City, Japan",within an hour,1,1,f,1,1,"['email', 'phone', 'work_email']",t,t
39969626,Yuna Soon,7/29/2015,"Adachi City, Japan",within a few hours,1,1,f,2,5,"['email', 'phone']",t,t
40553944,Katutoshi,8/5/2015,"Nerima, Japan",within an hour,1,1,f,6,11,"['email', 'phone']",t,t
41516927,Yoshihito,8/15/2015,"Minato, Japan",within an hour,0.96,1,t,15,19,"['email', 'phone']",t,t
41516927,Yoshihito,8/15/2015,"Minato, Japan",within an hour,0.96,1,t,15,19,"['email', 'phone']",t,t
41516927,Yoshihito,8/15/2015,"Minato, Japan",within an hour,0.96,1,t,15,19,"['email', 'phone']",t,t
38655722,"Top Edge Co., Ltd.",7/16/2015,"Suginami City, Japan",within an hour,1,0.99,f,10,10,"['email', 'phone']",t,t
17694529,Hisao,7/6/2014,"Arakawa, Japan",within a few hours,1,0.96,t,8,9,"['email', 'phone']",t,t
17694529,Hisao,7/6/2014,"Arakawa, Japan",within a few hours,1,0.96,t,8,9,"['email', 'phone']",t,t
9542500,Jiang,10/20/2013,"Itabashi City, Japan",within a few hours,1,0.87,t,3,3,"['email', 'phone']",t,t
9542500,Jiang,10/20/2013,"Itabashi City, Japan",within a few hours,1,0.87,t,3,3,"['email', 'phone']",t,t
41865642,Yuki,8/18/2015,"Shibuya City, Japan",within a few hours,1,1,t,1,1,"['email', 'phone']",t,t
29681737,文娟,3/20/2015,"Nerima, Japan",within an hour,1,1,t,6,18,"['email', 'phone']",t,t
38655722,"Top Edge Co., Ltd.",7/16/2015,"Suginami City, Japan",within an hour,1,0.99,f,10,10,"['email', 'phone']",t,t
18132812,Kazumi,7/15/2014,"Shinjuku City, Japan",within an hour,1,1,,69,98,"['email', 'phone']",t,t
19532514,Josh F,8/5/2014,"Shinagawa City, Japan",within a few hours,1,0.95,t,2,4,"['email', 'phone', 'work_email']",t,t
12369727,Kei,2/18/2014,"Katsushika City, Japan",within an hour,1,1,t,1,5,"['email', 'phone', 'work_email']",t,t
24575613,Momoe,12/7/2014,"Tokyo, Japan",within an hour,1,0.97,f,16,21,"['email', 'phone']",t,t
36396507,Yuka,6/22/2015,"Tokyo, Japan",within an hour,1,1,f,5,6,"['email', 'phone']",t,t
43430911,Ming Yang,9/5/2015,"Shinjuku City, Japan",within an hour,1,1,t,4,7,"['email', 'phone']",t,t
43579713,Miho,9/7/2015,"Minato City, Japan",within a day,0.9,0.91,t,2,16,"['email', 'phone']",t,t
5749679,Sayoko,4/3/2013,"Shinagawa, Japan",within an hour,1,0.99,t,2,4,"['email', 'phone']",t,t
7212968,Jason,7/1/2013,"Toshima, Japan",within an hour,1,0.92,t,2,2,"['email', 'phone']",t,t
43721134,Shio,9/8/2015,"Sumida, Japan",within a few hours,1,0.89,f,3,5,"['email', 'phone']",t,t
43855091,Rumika,9/10/2015,"Shibuya City, Japan",within an hour,1,1,t,19,47,"['email', 'phone']",t,t
43230315,Hirotake,9/3/2015,"Tokyo, Japan",within an hour,1,1,f,8,11,"['email', 'phone']",t,t
34561184,Toshiro & Tanya,5/30/2015,"Shibuya, Japan",within an hour,1,0.99,f,9,11,"['email', 'phone']",t,t
14382431,Kyoko,4/16/2014,"Setagaya, Japan",within an hour,1,1,t,1,6,"['email', 'phone']",t,t
44316986,Yukio,9/16/2015,Japan,within an hour,1,1,f,4,9,"['email', 'phone']",t,t
29253527,Momo,3/13/2015,"Tokyo, Japan",within an hour,1,0.99,,28,49,"['email', 'phone']",t,t
43979015,Ohkubo,9/12/2015,"Tokyo, Japan",within a few hours,1,0.98,t,10,17,"['email', 'phone', 'work_email']",t,t
43751877,Masami,9/9/2015,"Tokyo, Japan",within an hour,1,0.99,t,11,17,"['email', 'phone']",t,t
26761196,Yoko&Yasuhiro,1/26/2015,"Nakano, Japan",within an hour,1,1,t,1,1,"['email', 'phone']",t,t
45410526,Josie,9/30/2015,"Sumida City, Japan",within an hour,1,0.99,f,5,7,"['email', 'phone']",t,t
43145433,武志,9/2/2015,"Taito, Japan",within an hour,1,1,t,2,2,"['email', 'phone']",t,t
36396507,Yuka,6/22/2015,"Tokyo, Japan",within an hour,1,1,f,5,6,"['email', 'phone']",t,t
36396507,Yuka,6/22/2015,"Tokyo, Japan",within an hour,1,1,f,5,6,"['email', 'phone']",t,t
37087932,Konoha House,6/29/2015,"Tokyo, Japan",within an hour,1,1,t,2,3,"['email', 'phone']",t,t
43979015,Ohkubo,9/12/2015,"Tokyo, Japan",within a few hours,1,0.98,t,10,17,"['email', 'phone', 'work_email']",t,t
46674978,Namio,10/16/2015,"Bunkyo, Japan",within an hour,1,0.94,t,3,4,"['email', 'phone']",t,t
22193183,Kyoko,10/6/2014,"Tokyo, Japan",within an hour,1,1,t,4,24,"['email', 'phone']",t,t
47063863,Masa,10/20/2015,"Ota City, Japan",within an hour,1,1,t,1,1,"['email', 'phone']",t,t
44607845,Shin,9/19/2015,"Shinjuku, Japan",within an hour,1,1,t,2,3,"['email', 'phone']",t,t
43855091,Rumika,9/10/2015,"Shibuya City, Japan",within an hour,1,1,t,19,47,"['email', 'phone']",t,t
43721134,Shio,9/8/2015,"Sumida, Japan",within a few hours,1,0.89,f,3,5,"['email', 'phone']",t,t
22193183,Kyoko,10/6/2014,"Tokyo, Japan",within an hour,1,1,t,4,24,"['email', 'phone']",t,t
12353736,Takano,2/18/2014,"Sumida, Japan",within an hour,1,1,f,2,4,"['email', 'phone']",t,t
46900709,Grapehouse Koenji,10/19/2015,"Tokyo, Japan",within an hour,1,1,t,4,6,"['email', 'phone', 'work_email']",t,t
36396507,Yuka,6/22/2015,"Tokyo, Japan",within an hour,1,1,f,5,6,"['email', 'phone']",t,t
10986553,Veronica,1/3/2014,"Shinjuku City, Japan",within an hour,1,1,t,4,14,"['email', 'phone']",t,t
48192801,ゆき,11/4/2015,"Shibuya, Japan",within an hour,1,1,f,1,4,"['email', 'phone']",t,t
18776800,近藤,7/24/2014,"Tokyo, Japan",within a few hours,1,0.93,t,20,21,"['email', 'phone']",t,t
46900709,Grapehouse Koenji,10/19/2015,"Tokyo, Japan",within an hour,1,1,t,4,6,"['email', 'phone', 'work_email']",t,t
48993128,Hiroyuki,11/14/2015,"Taito, Japan",within an hour,1,1,f,2,2,"['email', 'phone']",t,t
49146494,Shino,11/16/2015,"Tokyo, Japan",within an hour,1,1,f,5,13,"['email', 'phone', 'work_email']",t,t
48739707,Maki Nicestaytokyo,11/11/2015,"Tokyo, Japan",within an hour,1,0.71,f,3,7,"['email', 'phone']",t,t
28089811,Masato,2/21/2015,"Komae, Japan",within an hour,1,1,t,2,4,"['email', 'phone']",t,t
45326126,Hotel Asakusabashi,9/28/2015,Hong Kong,within an hour,1,1,f,4,10,"['email', 'phone']",t,t
49237439,Ken,11/17/2015,"Edogawa City, Japan",within an hour,1,1,f,12,27,"['email', 'phone', 'work_email']",t,t
49474412,Dong,11/20/2015,"Shinjuku City, Japan",within an hour,1,1,t,24,28,"['email', 'phone']",t,t
49570162,天野,11/21/2015,"Yokohama, Japan",within an hour,1,1,f,2,10,"['email', 'phone']",t,t
49237439,Ken,11/17/2015,"Edogawa City, Japan",within an hour,1,1,f,12,27,"['email', 'phone', 'work_email']",t,t
49474412,Dong,11/20/2015,"Shinjuku City, Japan",within an hour,1,1,t,24,28,"['email', 'phone']",t,t
29341016,Wabi Sabi,3/14/2015,,within an hour,1,1,f,13,15,"['email', 'phone', 'work_email']",t,t
49474412,Dong,11/20/2015,"Shinjuku City, Japan",within an hour,1,1,t,24,28,"['email', 'phone']",t,t
43751877,Masami,9/9/2015,"Tokyo, Japan",within an hour,1,0.99,t,11,17,"['email', 'phone']",t,t
22193183,Kyoko,10/6/2014,"Tokyo, Japan",within an hour,1,1,t,4,24,"['email', 'phone']",t,t
17694529,Hisao,7/6/2014,"Arakawa, Japan",within a few hours,1,0.96,t,8,9,"['email', 'phone']",t,t
45623186,Satomi,10/2/2015,"Chofu, Japan",within a few hours,1,0.92,t,3,5,"['email', 'phone']",t,t
45326126,Hotel Asakusabashi,9/28/2015,Hong Kong,within an hour,1,1,f,4,10,"['email', 'phone']",t,t
45326126,Hotel Asakusabashi,9/28/2015,Hong Kong,within an hour,1,1,f,4,10,"['email', 'phone']",t,t
45326126,Hotel Asakusabashi,9/28/2015,Hong Kong,within an hour,1,1,f,4,10,"['email', 'phone']",t,t
42808108,Mie,8/29/2015,,within an hour,1,1,t,7,7,['phone'],t,t
50147878,Nobu,11/29/2015,"Tokyo, Japan",within an hour,1,1,f,2,3,"['email', 'phone']",t,t
44812749,Japanstay.Tokyo,9/22/2015,"Minato City, Japan",within an hour,1,0.99,f,11,42,"['email', 'phone']",t,t
50107022,Jojo,11/29/2015,"Kashiwa, Japan",within a few hours,1,0.99,t,3,12,"['email', 'phone', 'work_email']",t,t
36898142,Ichimaru,6/27/2015,"Shinjuku City, Japan",within an hour,1,0.98,f,20,26,"['email', 'phone']",t,t
50786427,Subin,12/8/2015,"Taito, Japan",within an hour,1,1,t,3,4,"['email', 'phone']",t,t
50435854,Hong,12/3/2015,"Tokyo, Japan",within an hour,1,0.93,f,2,2,['phone'],t,t
